ID,availableBikeNumber,City,Street,Longitude,Latitude
urn%3ngsi-ld%3station%3001,5,Montpellier,Rue Jules Ferry - Gare Saint-Roch,3.881346,43.605366
urn%3ngsi-ld%3station%3002,12,Montpellier,Comédie,3.878778,43.608148
urn%3ngsi-ld%3station%3003,0,Montpellier,Esplanade,3.881293,43.609478
urn%3ngsi-ld%3station%3004,4,Montpellier,Hôtel de Ville,3.894866,43.599088
urn%3ngsi-ld%3station%3005,10,Montpellier,Corum,3.8816,43.613989
urn%3ngsi-ld%3station%3006,3,Montpellier,Place Albert 1er - St Charles,3.873375,43.616768
urn%3ngsi-ld%3station%3007,3,Montpellier,Foch,3.873345,43.610989
urn%3ngsi-ld%3station%3008,5,Montpellier,Halles Castellane,3.877208,43.609935
urn%3ngsi-ld%3station%3010,0,Montpellier,Rondelet,3.875796,43.603038
urn%3ngsi-ld%3station%3011,4,Montpellier,Plan Cabanes,3.868389,43.608491
urn%3ngsi-ld%3station%3012,8,Montpellier,Boutonnet,3.868375,43.622629
urn%3ngsi-ld%3station%3013,7,Montpellier,Emile Combes,3.87998,43.616742
urn%3ngsi-ld%3station%3014,5,Montpellier,Beaux-Arts,3.884981,43.616698
urn%3ngsi-ld%3station%3015,5,Montpellier,Les Aubes,3.893844,43.618692
urn%3ngsi-ld%3station%3016,2,Montpellier,Antigone centre,3.890634,43.607942
urn%3ngsi-ld%3station%3017,10,Montpellier,Médiathèque Emile Zola,3.89314,43.608218
urn%3ngsi-ld%3station%3018,6,Montpellier,Nombre d Or,3.886644,43.607859
urn%3ngsi-ld%3station%3019,6,Montpellier,Louis Blanc,3.877648,43.614642
urn%3ngsi-ld%3station%3020,1,Montpellier,Gambetta,3.870693,43.607106
urn%3ngsi-ld%3station%3021,6,Montpellier,Port Marianne,3.89851,43.60032
urn%3ngsi-ld%3station%3022,0,Montpellier,Clemenceau,3.872394,43.603539
urn%3ngsi-ld%3station%3023,3,Montpellier,Les Arceaux,3.867157,43.611991
urn%3ngsi-ld%3station%3024,7,Montpellier,Cité Mion,3.884373,43.601143
urn%3ngsi-ld%3station%3025,1,Montpellier,Nouveau Saint-Roch,3.875757,43.599817
urn%3ngsi-ld%3station%3026,0,Montpellier,Renouvier,3.867884,43.603553
urn%3ngsi-ld%3station%3027,7,Montpellier,Odysseum,3.918979,43.603727
urn%3ngsi-ld%3station%3028,4,Montpellier,Saint-Denis,3.875065,43.605021
urn%3ngsi-ld%3station%3029,4,Montpellier,Richter,3.899263,43.603424
urn%3ngsi-ld%3station%3030,5,Montpellier,Charles Flahault,3.865971,43.618762
urn%3ngsi-ld%3station%3031,1,Montpellier,Voltaire,3.888659,43.603767
urn%3ngsi-ld%3station%3032,7,Montpellier,Prés d Arènes,3.884611,43.59048
urn%3ngsi-ld%3station%3033,6,Montpellier,Garcia Lorca,3.890616,43.590757
urn%3ngsi-ld%3station%3034,4,Montpellier,Vert Bois,3.871179397,43.635429956
urn%3ngsi-ld%3station%3035,3,Montpellier,Malbosc,3.832861,43.633679
urn%3ngsi-ld%3station%3036,11,Montpellier,Occitanie,3.849128,43.634242
urn%3ngsi-ld%3station%3037,4,Montpellier,FacdesSciences,3.860697,43.631018
urn%3ngsi-ld%3station%3038,1,Montpellier,Fac de Lettres,3.870339812,43.629722022
urn%3ngsi-ld%3station%3039,7,Montpellier,Aiguelongue,3.882492,43.626163
urn%3ngsi-ld%3station%3040,2,Montpellier,Jeu de Mail des Abbés,3.883831,43.619701
urn%3ngsi-ld%3station%3041,4,Montpellier,Euromédecine,3.828199,43.639119
urn%3ngsi-ld%3station%3042,1,Montpellier,Marie Caizergues,3.873812,43.619871
urn%3ngsi-ld%3station%3043,5,Montpellier,Sabines,3.860031,43.584211
urn%3ngsi-ld%3station%3044,3,Montpellier,Celleneuve,3.832624,43.61467
urn%3ngsi-ld%3station%3045,6,Montpellier,Jardin de la Lironde,3.911576,43.60585
urn%3ngsi-ld%3station%3046,1,Montpellier,Père Soulas,3.855603,43.621983
urn%3ngsi-ld%3station%3047,7,Montpellier,Place Viala,3.855075,43.616812
urn%3ngsi-ld%3station%3048,3,Montpellier,Hôtel du Département,3.83477,43.621682
urn%3ngsi-ld%3station%3049,2,Montpellier,Tonnelles,3.839466,43.615155
urn%3ngsi-ld%3station%3050,3,Montpellier,Parvis Jules Ferry - Gare Saint-Roch,3.879362,43.603889
urn%3ngsi-ld%3station%3051,5,Montpellier,Pont de Lattes - Gare Saint-Roch,3.882393,43.606036
urn%3ngsi-ld%3station%3053,3,Montpellier,Deux Ponts - Gare Saint-Roch,3.880916,43.604319
urn%3ngsi-ld%3station%3054,1,Montpellier,Providence - Ovalie,3.853421,43.588239
urn%3ngsi-ld%3station%3055,41,Montpellier,Pérols Etang de l Or,3.963412,43.558351
urn%3ngsi-ld%3station%3056,4,Montpellier,Albert 1er - Cathédrale,3.873218,43.614005
urn%3ngsi-ld%3station%3057,3,Montpellier,Saint-Guilhem - Courreau,3.872752,43.608996
urn%3ngsi-ld%3station%3059,0,Montpellier,Sud De France,3.9235,43.59562
